product_sk,product_id,product_name,product_description,category_level_1,category_level_2,category_level_3,brand,manufacturer,product_color,product_size,product_weight,standard_cost,list_price,product_status,launch_date,created_timestamp,updated_timestamp
2001,PROD001,"iPhone 15 Pro","Latest flagship smartphone with advanced camera system",Electronics,Smartphones,Flagship,Apple,Apple,Black,6.1 inch,187.00,999.00,1199.00,Active,2023-09-15,2023-09-15 10:00:00,2023-09-15 10:00:00
2002,PROD002,"Samsung Galaxy S24","High-performance Android smartphone",Electronics,Smartphones,Flagship,Samsung,Samsung,Silver,6.2 inch,168.00,850.00,1099.00,Active,2024-01-17,2024-01-17 12:00:00,2024-01-17 12:00:00
2003,PROD003,"MacBook Pro 16-inch","Professional laptop for creative professionals",Electronics,Laptops,Professional,Apple,Apple,Space Gray,16 inch,2100.00,2200.00,2499.00,Active,2023-10-30,2023-10-30 14:00:00,2023-10-30 14:00:00
2004,PROD004,"Dell XPS 13","Ultra-portable business laptop",Electronics,Laptops,Business,Dell,Dell,Platinum Silver,13 inch,1200.00,900.00,1299.00,Active,2024-02-01,2024-02-01 09:00:00,2024-02-01 09:00:00
2005,PROD005,"Nike Air Max 270","Comfortable running shoes with air cushioning",Clothing,Footwear,Athletic,Nike,Nike,White/Black,Size 10,350.00,90.00,150.00,Active,2023-03-01,2023-03-01 08:00:00,2023-03-01 08:00:00
2006,PROD006,"Adidas Ultraboost 22","Premium running shoes with boost technology",Clothing,Footwear,Athletic,Adidas,Adidas,Core Black,Size 9,380.00,120.00,190.00,Active,2023-04-15,2023-04-15 11:00:00,2023-04-15 11:00:00
2007,PROD007,"Levi's 501 Original Jeans","Classic straight-fit denim jeans",Clothing,Apparel,Casual,Levi's,Levi Strauss & Co,Indigo Blue,32W x 32L,450.00,35.00,69.99,Active,2020-01-01,2020-01-01 10:00:00,2020-01-01 10:00:00
2008,PROD008,"The Great Gatsby","Classic American literature novel",Books,Fiction,Literature,Scribner,Scribner,N/A,Paperback,200.00,8.50,15.99,Active,1925-04-10,2020-01-01 10:00:00,2020-01-01 10:00:00
2009,PROD009,"Dune: Part One","Epic science fiction novel",Books,Fiction,Sci-Fi,Ace Books,Ace Books,N/A,Paperback,680.00,9.99,18.99,Active,1965-08-01,2020-01-01 10:00:00,2020-01-01 10:00:00
2010,PROD010,"Sony WH-1000XM5","Premium noise-canceling wireless headphones",Electronics,Audio,Headphones,Sony,Sony,Black,Over-Ear,250.00,280.00,399.99,Active,2022-05-12,2022-05-12 13:00:00,2022-05-12 13:00:00
